,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6070337295532227,0.12998926687601192,0.19144740104675292,0.10059546490173103,1,8,"{'max_depth': 1, 'max_features': 8}",0.1108037252642543,-0.006658180043177975,0.09894616143142365,0.03173614479388842,0.12015592923698448,0.07099675613667458,0.049707289331579425,70
1,0.6021096229553222,0.1123979928550331,0.20178766250610353,0.13313018817108035,1,9,"{'max_depth': 1, 'max_features': 9}",0.11859819612347433,0.03570316930922113,0.06281065790594742,0.0394244932042761,0.11938862132281347,0.07518502757314649,0.036957864870539044,69
2,0.6915666580200195,0.13888681827933982,0.256925106048584,0.1371836965851727,1,10,"{'max_depth': 1, 'max_features': 10}",0.13531113571698505,0.05016254889403371,0.1157487120445928,0.018720127005564358,0.13774268672972179,0.09153704207817955,0.04827315950103827,68
3,0.6070573329925537,0.1196081701823949,0.09652690887451172,0.026427458991849933,1,11,"{'max_depth': 1, 'max_features': 11}",0.13330011043430057,0.06688235859326597,0.10133434352081294,0.02484007094227625,0.1497604680029615,0.09522347029872344,0.045207297932553125,67
4,0.6447249412536621,0.08882966579345526,0.12084689140319824,0.08066483746210974,1,12,"{'max_depth': 1, 'max_features': 12}",0.14816911295580226,0.06120925726758086,0.09520294118394534,0.05171765110233495,0.14934624153871523,0.10112904080967573,0.0414918306207132,65
5,0.6300856113433838,0.09763978218794672,0.13389577865600585,0.1304051757388742,1,13,"{'max_depth': 1, 'max_features': 13}",0.13810673410677043,0.06650449506500233,0.11253453581443973,0.04142377160297128,0.14502186466168776,0.1007182802501743,0.040464181250743914,66
6,0.6430798053741456,0.10943011205639555,0.20963764190673828,0.04736756707554932,1,14,"{'max_depth': 1, 'max_features': 14}",0.16011161499403392,0.08689455777582067,0.14363580841364076,0.061840753489401545,0.1579720297308943,0.12209095288075825,0.0401648502511117,64
7,0.8029511928558349,0.1618770135709405,0.19514646530151367,0.08303050845998013,2,8,"{'max_depth': 2, 'max_features': 8}",0.19165376959809555,0.09650139309787098,0.15919739761132023,0.115612040646906,0.19655996505604834,0.15190491320204821,0.040034855333757044,63
8,1.00943021774292,0.21472327171063665,0.3442809581756592,0.22346681790640108,2,9,"{'max_depth': 2, 'max_features': 9}",0.2022106950191337,0.1228351089770825,0.19088811676822137,0.1043446251142407,0.2169945530314631,0.16745461978202827,0.04513333735652297,62
9,0.9380936622619629,0.16961298216587034,0.2663547992706299,0.09791688769017351,2,10,"{'max_depth': 2, 'max_features': 10}",0.20702797653324412,0.12625272019379952,0.19975032775553703,0.13203794754930298,0.22484264975894597,0.1779823243581659,0.04074364658743101,60
10,0.918887996673584,0.1209764699984835,0.2633083343505859,0.23787752198260478,2,11,"{'max_depth': 2, 'max_features': 11}",0.19184623048117344,0.14681593252291458,0.17680836595053917,0.12435923194492127,0.21614911959783034,0.17119577609947575,0.032455459213657785,61
11,0.8757840156555176,0.19850388323739343,0.28723645210266113,0.13736387770299344,2,12,"{'max_depth': 2, 'max_features': 12}",0.22381372889766193,0.15256526273639714,0.21627685810087827,0.13526526331676236,0.24008514009526138,0.1936012506293922,0.04165277593457626,58
12,1.1492107391357422,0.229773149972138,0.3296037673950195,0.15444541261737427,2,13,"{'max_depth': 2, 'max_features': 13}",0.2106923170056646,0.14809493014933506,0.21726752699274376,0.14800807894908996,0.2229629220747602,0.1894051550343187,0.03398773706247189,59
13,1.1482389450073243,0.23508833062892048,0.2809318542480469,0.18793900114222659,2,14,"{'max_depth': 2, 'max_features': 14}",0.23587340294289816,0.15597176749303499,0.21003808481219166,0.15566551087449831,0.2516243055375472,0.20183461433203406,0.03984955769542339,56
14,1.1795166015625,0.2395871068640071,0.24833955764770507,0.2792906822015943,3,8,"{'max_depth': 3, 'max_features': 8}",0.2227002660246673,0.15896156816197715,0.2155673025899143,0.1612320070349481,0.24955689769582357,0.20160360830146606,0.035742919480900394,57
15,0.9550338745117187,0.19952452762558218,0.3278217792510986,0.21747117702709415,3,9,"{'max_depth': 3, 'max_features': 9}",0.2397814239998287,0.17875906978086653,0.22828955243350368,0.17337936389989472,0.2582476883350945,0.21569141968983763,0.033776873130174766,55
16,1.174660062789917,0.3135082009776276,0.4488043308258057,0.41519504190546896,3,10,"{'max_depth': 3, 'max_features': 10}",0.2625244594079137,0.18567867385275227,0.24585495048167583,0.17349963023198678,0.25713852444851737,0.22493924768456922,0.03761471810123911,54
17,1.1559098720550538,0.27271721925094433,0.3197492122650146,0.20579830036315985,3,11,"{'max_depth': 3, 'max_features': 11}",0.25706361072386863,0.20599035177726688,0.25552074303226113,0.1722123262407902,0.2680268158338943,0.23176276952161623,0.0366882208267048,53
18,1.3220677852630616,0.3194988168671501,0.31336112022399903,0.42964085207600256,3,12,"{'max_depth': 3, 'max_features': 12}",0.2586003911916881,0.19686161028072036,0.2532047777664932,0.18578526691054675,0.288244813602473,0.23653937195038427,0.03895685040381945,52
19,1.2863632202148438,0.3409916064924792,0.36243252754211425,0.23644751324003546,3,13,"{'max_depth': 3, 'max_features': 13}",0.26705028956107235,0.2055968633578672,0.25361478141391214,0.19387685353684136,0.2911063229302556,0.24224902215998972,0.03691765601669927,51
20,1.3093016624450684,0.26058659315019683,0.34029269218444824,0.2721890298183442,3,14,"{'max_depth': 3, 'max_features': 14}",0.2604468630482206,0.21218934456985272,0.26117325005776393,0.19031216652935534,0.29391222789630456,0.2436067704202994,0.03728318234647233,50
21,1.1830353736877441,0.28362471614446527,0.24354944229125977,0.12296452433166939,4,8,"{'max_depth': 4, 'max_features': 8}",0.2486568813668133,0.2172373859325345,0.2732927691780823,0.19426646745965448,0.2977473038256492,0.24624016155254677,0.037237335271122156,49
22,1.1537150382995605,0.2934776293292627,0.3029936790466309,0.13877856727244883,4,9,"{'max_depth': 4, 'max_features': 9}",0.2725342139545879,0.2310176626385817,0.2657837300636956,0.20714170249439057,0.2826162867909341,0.25181871918843796,0.02828909046488867,48
23,1.1856289863586427,0.20170881871037738,0.36263079643249513,0.07942193306234163,4,10,"{'max_depth': 4, 'max_features': 10}",0.283166850210093,0.22357518028771484,0.27343648078689864,0.2032384211570758,0.29272001891768307,0.25522739027189306,0.035277746266724565,47
24,1.3101665019989013,0.24130460418147645,0.27227373123168946,0.06681600226316917,4,11,"{'max_depth': 4, 'max_features': 11}",0.2871862388080607,0.23439694878436834,0.28118099982410705,0.21067256670712742,0.28488109054832444,0.25966356893439757,0.03128878706008013,46
25,1.319271993637085,0.15637687322930519,0.30279107093811036,0.06652824620214871,4,12,"{'max_depth': 4, 'max_features': 12}",0.28887777329332254,0.2409236337110171,0.2881015480164387,0.21765139325263427,0.2884078272152998,0.2647924350977425,0.029910207327262624,45
